 "topic_name" , "topic_uri" , "event_uri" , "content_uri" ,
 "rdfs" , "https://dbpedia.org/resource/RDF_Schema" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Worksheets/worksheet03.pdf" ,
 "Full-text search" , "https://dbpedia.org/resource/Full-text_search" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Refinitiv" , "https://dbpedia.org/resource/Refinitiv" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Amazon Alexa" , "https://dbpedia.org/resource/Amazon_Alexa" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Dublin Core" , "https://dbpedia.org/resource/Dublin_Core" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "formal language" , "https://dbpedia.org/resource/Formal_language" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Google Assistant" , "https://dbpedia.org/resource/Google_Assistant" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "POWER7" , "https://dbpedia.org/resource/POWER7" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Entity Linking" , "https://dbpedia.org/resource/Entity_linking" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Microsoft Tay" , "http://dbpedia.org/resource/Tay_(bot)" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
